Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Responsible,Actual_Person,Date_Studied,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
Generator_Choices_ProdGenPlate,1,5,5010,Set Generator,*,20,20,20,20,20,20,,SR,,,,0,0,0,0,0,0
Generator_Choices_ProdGenPlate,1,5,5020,Generator cover prep,*,37,37,37,37,37,37,,SR,,,,0,0,0,0,0,0
Generator_Choices_ProdGenPlate,1,5,5030,cover install,*,21,21,21,21,21,21,,SR,,,,0,0,0,0,0,0
Generator_Choices_ProdGenPlate,1,5,5040,Wire in generator to transfer switch,*,18,18,18,18,18,18,,SR,SR,11/2/16,,0,0,0,0,0,0
Generator_Choices_ProdGenPlate,1,5,5050,Generator test,*,8,8,8,8,8,8,,SR,,,,0,0,0,0,0,0
,,5,5060,Ramp Door Install,,30,30,30,30,30,30,,NT,,,,30,30,30,30,30,30
VinylInsert_Choices_ProdPatio,1,5,5070,Patio Installation,*,180,180,180,180,180,180,,,,,,0,0,0,0,0,0
,,5,5080,License Plate,,2,2,2,2,2,2,,NT,,,,2,2,2,2,2,2
,,5,5090,Grab Handles (Ramp),,10,10,10,10,10,10,,NT,,,,10,10,10,10,10,10
,,5,5100,"Fire Ext., LP Detector, Carbon Monoxide Detector",,15,15,15,15,15,15,,RW,,,,15,15,15,15,15,15
,,5,5110,Clean Exterior,,35,35,35,35,35,35,,RW,,,,35,35,35,35,35,35
,,5,5120,Exterior Stickers and Logos,,20,20,20,20,20,20,,RW,,,,20,20,20,20,20,20
,,5,5130,Caulk Exterior,,40,45,40,45,55,55,,RW,,,,40,45,40,45,55,55
,,5,5140,Clean Interior,,70,80,70,80,90,100,,RW,,,,70,80,70,80,90,100
CabinetGarageUpperCS_Choices_ProdCSF,1,5,5150,Clean Interior - Cabinets CS Front,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
CabinetGarageUpperCS_Choices_ProdCSM,1,5,5160,Clean Interior - Cabinets CS Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
CabinetGarageUpperCS_Choices_ProdCSR,1,5,5170,Clean Interior - Cabinets CS Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
CabinetGarageUpperRS_Choices_ProdRSM,1,5,5180,Clean Interior - Cabinets RS Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
CabinetGarageUpperRS_Choices_ProdRSR,1,5,5190,Clean Interior - Cabinets RS Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
BedDoor_Choices_ProdCS,1,5,5200,Clean - Bed Door - CS,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
BedDoor_Choices_ProdRS,1,5,5210,Clean - Bed Door - RS,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
BedLift_Choices_ProdM,1,5,5220,Happijac - Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
BedLift_Choices_ProdR,1,5,5230,Happijac - Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
SofaFront_Choices_ProdCSF,1,5,5240,Sofa - CS - Front,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
SofaMiddle_Choices_ProdCSM,1,5,5250,Sofa - CS - Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
SofaRear_Choices_ProdCSR,1,5,5260,Sofa - CS - Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
SofaMiddle_Choices_ProdRSM,1,5,5270,Sofa - RS - Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
SofaRear_Choices_ProdRSR,1,5,5280,Sofa - RS - Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdCSF,1,5,5290,Dinette CS - Front,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdCSM,1,5,5300,Dinette CS - Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdCSR,1,5,5310,Dinette CS - Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdRSM,1,5,5320,Dinette RS - Middle,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdRSR,1,5,5330,Dinette RS - Rear,*,5,5,5,5,5,5,,,,,,0,0,0,0,0,0
Insulation_Choices_Prod,1,5,5340,Insulation - floor,*,10,10,10,10,10,10,,,,,,0,0,0,0,0,0
,,5,5350,Interior Stickers,,11,11,11,11,11,11,,RW,,,,11,11,11,11,11,11
,,5,5360,Caulk Interior,,60,70,60,70,80,85,,RW,,,,60,70,60,70,80,85
,,5,5370,Shower Curtain,,5,5,5,5,5,5,,RW,,,,5,5,5,5,5,5
,,5,5380,Grease Caps,,2,2,2,2,2,2,,RW,,,,2,2,2,2,2,2
,,5,5390,Tighten Wheel Lugs & check air presure in tires,,5,5,5,5,5,5,,RW,,,,5,5,5,5,5,5
Graphics_Choices_Prod,1,5,5400,Install Graphics,*,120,130,120,130,130,130,,RW,,,,0,0,0,0,0,0
CarpetBedroom_Choices_Prod,1,5,5410,Install Carpet - Bedroom,*,3,3,3,3,3,3,,RW,,,,0,0,0,0,0,0
CarpetGarage_Choices_Prod,1,5,5420,Install Carpet - Garage,*,3,3,3,3,3,3,,RW,,,,0,0,0,0,0,0
CarpetKitchen_Choices_Prod,1,5,5430,Install Carpet - Kitchen,*,3,3,3,3,3,3,,RW,,,,0,0,0,0,0,0
,,5,5440,Tie Down Rings,*,2,2,2,2,2,2,,RW,,,,0,0,0,0,0,0
,,5,5450,Hi-Pot Test,,10,10,10,10,10,10,,NT,,,,10,10,10,10,10,10
,,5,5460,Electrical Systems check,,45,45,45,45,45,45,,NT,,,,45,45,45,45,45,45
,,5,5470,functionallity test,,20,20,20,20,20,20,,NT,,,,20,20,20,20,20,20
