Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Responsible,Actual_Person,Date_Studied,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
,,3,3010,install bathroom upper cab. & countertop,,37,37,37,37,37,37,,J.R.,,,,37,37,37,37,37,37
,,3,3020,install bath backsplash,,8,8,8,8,8,8,,J.R.,,,,8,8,8,8,8,8
,,3,3030,set linen in bathroom,,48,48,48,48,48,48,,J.R.,,,,48,48,48,48,48,48
,,3,3040,set kitchen broom closet,,50,50,50,50,50,50,,J.R.,,,,50,50,50,50,50,50
,,3,3050,install bargman cord & junction box,,65,65,65,65,65,65,,TS,,,,65,65,65,65,65,65
,,3,3060,wire electric jack,,10,10,10,10,10,10,,TS,,,,10,10,10,10,10,10
Battery_Choices_Qty_Prod,1,3,3070,Install Battery,*,20,20,20,20,20,20,,TS,,,,0,0,0,0,0,0
Battery_Choices_Qty_Prod,2,3,3080,Install 2 Batteries,*,40,40,40,40,40,40,,TS,,,,0,0,0,0,0,0
Solar_Choices_Prod,1,3,3090,install solar panal controller,*,8,8,8,8,8,8,,TS,,,,0,0,0,0,0,0
,,3,3100,Loom Wires Where Needed,,27,27,27,27,27,27,,TS,,,,27,27,27,27,27,27
,,3,3110,Low point drains & water lines.     (std. unit),,26,26,26,26,26,26,,JR,,,,26,26,26,26,26,26
,,3,3120,Install Shower,,8,8,8,8,8,8,,JR,,,,8,8,8,8,8,8
,,3,3130,Shower Faucet,,2,2,2,2,2,2,,JR,,,,2,2,2,2,2,2
,,3,3140,Set Bath Wall and Drill Holes for Plumbing and Wiring,,20,20,20,20,20,20,,JR,,,,20,20,20,20,20,20
,,3,3150,Plumb Drain Vents,,10,10,10,10,10,10,,JR,,,,10,10,10,10,10,10
,,3,3160,Panel Interior Bathroom,,10,10,10,10,10,10,,JR,,,,10,10,10,10,10,10
,,3,3170,Panel Outside of Bath Wall,,9,9,9,9,9,9,,JR,,,,9,9,9,9,9,9
,,3,3180,Install remainder of ceiling panals,,30,30,30,30,30,30,,JR,,,,30,30,30,30,30,30
,,3,3190,Panel All Interior Walls,,120,120,120,120,120,,,JR,JR,11/9/16,,120,120,120,120,120,0
,,3,3210,Install and Hook Up Front Plumbing Kit,,13,13,13,13,13,13,,JR,,,,13,13,13,13,13,13
