Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Responsible,Actual_Person,Date_Studied,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
,,4,4010,Finish Water Heater,,10,10,10,10,10,10,,SR,,,,10,10,10,10,10,10
,,4,4020,Outside Water Fill,,6,6,6,6,6,6,,SR,,,,6,6,6,6,6,6
ShowerExterior_Choices_Prod,1,4,4030,Install Outside Shower,*,5,5,5,5,5,5,,SR,,,,0,0,0,0,0,0
,,4,4040,LP Tray and Tanks,,7,7,7,7,7,7,,SR,JR,11/7/16,,7,7,7,7,7,7
,,4,4050,install intellipower,,120,120,120,120,120,120,,TS,,,,120,120,120,120,120,120
,,4,4060,install battery disconnect & divider panal,,20,20,20,20,20,20,,TS,,,,20,20,20,20,20,20
Generator_Choices_ProdGenPlate,1,4,4070,install transfer switch,*,35,35,35,35,35,35,,TS,,,,0,0,0,0,0,0
,,3,4080,Interior Hook Up,,120,120,120,120,120,120,,TS,,,,120,120,120,120,120,120
Remove Option,1,4,4090,Flip Up Table,*,15,15,15,15,15,15,,NT,,,,0,0,0,0,0,0
,,4,4100,Trim Exterior Metal for Wheel Wells (8.5' wide only),,,,15,15,15,15,,NT,,,,0,0,15,15,15,15
,,4,4110,Install LP Lines,,30,30,30,30,30,40,,JR,,,,30,30,30,30,30,40
,,4,4120,Main Switch Panel Hook Up      No Stereo 45 ,,45,45,45,45,45,45,,TS,,,,45,45,45,45,45,45
Plumbing_3Season_Choices_Prod,1,4,4130,3 Season Plumbing,*,5,5,5,5,5,5,,TS,,,,0,0,0,0,0,0
Radio_Choices_Prod,1,4,4140,Radio Hook up,*,8,8,8,8,8,8,,TS,,,,0,0,0,0,0,0
trailerWidth70,1,4,4150,Fenders - 7 Wide,*,15,15,0,0,0,0,,NT,,,,0,0,0,0,0,0
,,4,4160,Lower Rub Rail,,40,45,40,45,55,55,,NT,,,,40,45,40,45,55,55
trailerWidth85,1,4,4170,Cut Fenders to Proper Length and Front Trim - 8.5 Wide,*,0,0,10,10,10,10,,NT,,,,0,0,0,0,0,0
,,4,4180,Wire Lower Clearance Lights,,15,15,15,15,20,20,,NT,,,,15,15,15,15,20,20
trailerWidth70,1,4,4190,Fender Lights - 7.0 Wide,,30,30,0,0,0,0,,NT,,,,30,30,0,0,0,0
,,4,4200,Flow Through Vents,,20,20,20,20,20,20,,NT,,,,20,20,20,20,20,20
TrimPanel_Choices_Prod,1,4,4210,Cut Stainless,*,2,2,2,2,2,2,,NT,,,,0,0,0,0,0,0
,,4,4220,Install Motorbase,,15,15,15,15,15,15,,TS,,,,15,15,15,15,15,15
TrimPanel_Choices_Prod,1,4,4230,Cut Stainless,*,2,2,2,2,2,2,,TS,,,,0,0,0,0,0,0
,,4,4240,Install Outside Coax,,15,15,15,15,15,15,,TS,,,,15,15,15,15,15,15
TrimPanel_Choices_Prod,1,4,4250,Cut Stainless,*,2,2,2,2,2,2,,TS,,,,0,0,0,0,0,0
,,4,4260,Exterior Recept Install,,15,15,15,15,15,15,,TS,,,,15,15,15,15,15,15
TrimPanel_Choices_Prod,1,4,4270,Cut Stainless,*,2,2,2,2,2,2,,TS,,,,0,0,0,0,0,0
,,4,4280,Exterior 12V Outlet,,10,10,10,10,10,10,,TS,,,,10,10,10,10,10,10
