Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Responsible,Actual_Person,Date_Studied,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
,,2,2010,Top weld and axles,,40,40,40,40,40,40,,Tator,,,,40,40,40,40,40,40
,,2,2020,Install Coupler,,15,15,15,15,15,15,,RS,,,,15,15,15,15,15,15
TieDownsFloor_Choices_ProdDRing,1,2,2030,Install D-Rings,*,52,52,52,52,71.5,52,,RS,,,,0,0,0,0,0,0
TieDownsFloor_Choices_ProdATrack,1,2,2040,Cut A-Track Slots,*,25,30,25,30,35,25,,RS,,,,0,0,0,0,0,0
,,2,2050,cut first piece of flooring  (7' wide),*,10,10,0,0,0,0,,RS,,,,0,0,0,0,0,0
,,2,2060,Level Frame,,5,5,5,5,5,5,,BM,,,,5,5,5,5,5,5
,,2,2070,Grind Top Welds,,15,15,15,15,20,20,,RS,,,,15,15,15,15,20,20
,,2,2080,Set Wheel wells or Wheel Well Metal,,5,5,5,5,5,5,,RS,,,,5,5,5,5,5,5
,,2,2090,Install flooring ( 2 people),,120,160,160,160,160,160,,BM,,,,120,160,160,160,160,160
TieDownsFloor_Choices_ProdATrack,1,2,2100,Weld in A-Track Backer,*,35,35,35,35,40,35,,LS,,,,0,0,0,0,0,0
TieDownsFloor_Choices_ProdATrack,1,2,2110,Install A-Track,*,58,75,58,75,96,58,,RS,,,,0,0,0,0,0,0
,,2,2120,Drill Plumbing Holes and Toilet Drains,,12,12,12,12,12,12,,RS,,,,12,12,12,12,12,12
,,2,2130,Drill Holes for Gas Lines and Low Points,,10,10,10,10,10,10,,RS,,,,10,10,10,10,10,10
,,2,2140,install 3'' grommmets for holes,,10,10,10,10,10,10,,BM,,,,10,10,10,10,10,10
,,2,2150,mark wall lines on floor/cover floor,,25,25,25,25,25,40,,RS,,,,25,25,25,25,25,40
,,2,2160,cover floor,,20,20,20,20,20,20,,BM,,,,20,20,20,20,20,20
,,2,2170,Set Walls - Rear Header - Front Walls,,30,30,30,30,30,30,,LS,,,,30,30,30,30,30,30
,,2,2180,Set and Weld Roof,,40,40,40,40,45,45,,LS,,,,40,40,40,40,45,45
,,2,2190,Final Weld on Sidewalls,,45,45,45,45,50,50,,LS,,,,45,45,45,45,50,50
,,2,2200,final weld on front walls,,20,20,20,20,20,20,,RS,,,,20,20,20,20,20,20
,,2,2210,Drill Holes for Wiring,,30,35,30,35,40,40,,RS,,,,30,35,30,35,40,40
,,2,2220,Grommet All Holes Where Needed,,10,10,10,10,10,10,,RS,,,,10,10,10,10,10,10
,,2,2600,Install Ground Wires,,10,10,10,10,10,10,,RS,,,,10,10,10,10,10,10
,,2,2230,Rough Wire Unit (Front Bedroom: 4.5 hrs),,90,105,125,125,125,150,,BM,,,,90,105,125,125,125,150
BedLift_Choices_ProdM,1,2,2240,Happijac - Middle,*,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,0,0,0,0,0,0
BedLift_Choices_ProdR,1,2,2250,Happijac - Rear,*,7.5,7.5,7.5,7.5,7.5,7.5,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdCSF,1,2,2260,Dinette CS - Front,*,1,1,1,1,1,1,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdCSM,1,2,2270,Dinette CS - Middle,*,1,1,1,1,1,1,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdCSR,1,2,2280,Dinette CS - Rear,*,1,1,1,1,1,1,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdRSM,1,2,2290,Dinette RS - Middle,*,1,1,1,1,1,1,,,,,,0,0,0,0,0,0
Dinette_Choices_ProdRSR,1,2,2300,Dinette RS - Rear,*,1,1,1,1,1,1,,,,,,0,0,0,0,0,0
AC_Choices_Prod,1,2,2320,A/C - 1st,*,8,8,8,8,8,8,,,,,,0,0,0,0,0,0
