Choice_Name,Choice_Value,Station,Process_#,Process_Name,Option,7.0x20,7.0x24,8.5x20,8.5x24,8.5x28,8.5x28FB,People,Responsible,Actual_Person,Date_Studied,,7.0x20_,7.0x24_,8.5x20_,8.5x24_,8.5x28_,8528FB_
,,1,1540,Fresh tank,,25,25,25,25,25,25,1,,,,,25,25,25,25,25,25
,,1,1550,Waste tanks ,,15,15,15,15,15,15,1,,,,,15,15,15,15,15,15
Generator_Choices_ProdFuelTank,1,1,1560,Fuel Tank,*,25,25,25,25,25,25,1,,,,,0,0,0,0,0,0
,,1,1570,Tank wiring and plumbing hook up,,70,70,70,70,70,70,1,,,,,70,70,70,70,70,70
Plumbing_3Season_Choices_Prod,1,1,1580,3 Season Plumbing,*,20,20,20,20,20,20,1,,,,,0,0,0,0,0,0
,,1,1590,Set Axles ,,20,20,20,20,20,20,1,,,,,20,20,20,20,20,20
,,1,1600,Brake wires,,20,20,20,20,20,20,1,,,,,20,20,20,20,20,20
,,1,1610,Stamp VIN on Frame,,3,3,3,3,3,3,1,,,,,3,3,3,3,3,3
Generator_Choices_ProdGenFuelLine,1,1,1620,Run fuel lines & carb canister for Gen,*,0,0,30,30,30,30,1,,,,,0,0,0,0,0,0
Generator_Choices_ProdTankFuelLine,1,1,1630,Run Fuel Line for Filling Station,*,0,0,10,10,10,10,1,,,,,0,0,0,0,0,0
,,1,1640,Install wheels,,15,15,15,15,15,15,1,,,,,15,15,15,15,15,15
,,1,1650,Install Jacks; Sewer Hose; Spare Tire Rack; sewage hose holder,,25,25,25,25,25,25,1,,,,,25,25,25,25,25,25
,,1,1660,Fasten Water Line,,35,35,35,35,35,35,1,,,,,35,35,35,35,35,35
,,1,1670,Fresh Water Fill and Vent Hoses,,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,Total (Min),,1281,1319,1321,1383,1488,1473,,,,,,1112,1150,1112,1174,1209,1244
,,,,Total (Hours),,21.4,22,22,23.1,24.8,24.6,,,,,,18.5,19.2,18.5,19.6,20.2,20.7
